"Year","Automotive Fuel","CPI"
"2014","1,581.16","949.55"
"2014","1,537.68","954.05"
"2014","1,498.55","958.56"
"2014","1,397.10","960.36"
"2015","1,226.09","962.16"
"2015","1,375.36","968.47"
"2015","1,352.17","972.97"
"2015","1,275.36","976.58"
"2016","1,147.83","974.77"
"2016","1,215.94","978.38"
"2016","1,181.16","985.59"
"2016","1,260.87","990.99"
"2017","1,333.33","995.50"
"2017","1,300.00","997.30"
"2017","1,269.57","1,003.60"
"2017","1,401.45","1,009.91"
"2018","1,414.49","1,014.41"
"2018","1,511.59","1,018.02"
"2018","1,533.33","1,022.52"
"2018","1,495.65","1,027.93"
"2019","1,365.22","1,027.93"
"2019","1,504.35","1,034.23"
"2019","1,473.91","1,039.64"
"2019","1,539.13","1,046.85"
"2020","1,446.38","1,050.45"
"2020","1,166.67","1,030.63"
"2020","1,276.81","1,046.85"
"2020","1,282.61","1,055.86"
"2021","1,394.20","1,062.16"
"2021","1,485.51","1,070.27"
"2021","1,591.30","1,078.38"
"2021","1,697.10","1,092.79"

"Source: Australian Bureau of Statistics, Automotive fuel in the CPI 23/03/2021"
